,activate_my_card,age_limit,apple_pay_or_google_pay,atm_support,automatic_top_up,beneficiary_not_allowed,card_about_to_expire,card_acceptance,card_arrival,card_delivery_estimate,card_linking,card_not_working,card_payment_fee_charged,card_payment_not_recognised,card_swallowed,cash_withdrawal_charge,cash_withdrawal_not_recognised,change_pin,compromised_card,contactless_not_working,country_support,declined_card_payment,declined_cash_withdrawal,direct_debit_payment_not_recognised,disposable_card_limits,edit_personal_details,exchange_charge,exchange_rate,extra_charge_on_statement,failed_transfer,get_disposable_virtual_card,getting_virtual_card,lost_or_stolen_card,lost_or_stolen_phone,oos,order_physical_card,passcode_forgotten,pending_cash_withdrawal,pending_top_up,receiving_money,request_refund,supported_cards_and_currencies,terminate_account,top_up_by_bank_transfer_charge,top_up_by_card_charge,top_up_by_cash_or_cheque,top_up_failed,top_up_limits,transaction_charged_twice,transfer_not_received_by_recipient,transfer_timing,unable_to_verify_identity,verify_my_identity,verify_top_up,virtual_card_not_working,visa_or_mastercard,why_verify_identity,wrong_amount_of_cash_received,wrong_exchange_rate_for_cash_withdrawal
card_swallowed,0,0,0,3,0,0,0,0,0,0,0,0,0,0,93,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cash_withdrawal_charge,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,207,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
cash_withdrawal_not_recognised,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,45,0,31,0,0,0,14,0,0,0,0,0,13,0,0,0,27,6,8,0,0,38,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,14,0
change_pin,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,151,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
compromised_card,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,80,0,0,1,0,0,0,0,0,0,1,0,0,0,31,1,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
contactless_not_working,0,0,0,0,0,0,0,1,1,0,0,0,2,1,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
country_support,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,148,0,0,0,0,0,0,0,0,0,0,0,0,0,4,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
declined_card_payment,0,0,0,0,0,0,0,3,0,0,0,17,0,41,0,0,0,0,0,0,0,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
declined_cash_withdrawal,0,0,0,28,0,0,0,1,0,0,0,10,0,0,0,0,77,2,0,0,0,8,83,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
direct_debit_payment_not_recognised,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,10,0,0,6,0,101,1,1,0,0,24,4,0,0,3,0,13,0,0,1,0,0,40,0,1,0,0,0,0,0,11,0,0,2,2,0,0,0,0,0,0
disposable_card_limits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134,0,0,0,0,0,22,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0
edit_personal_details,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
exchange_charge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
exchange_rate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
extra_charge_on_statement,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,192,0,0,0,0,0,0,0,0,2,4,0,1,0,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0
failed_transfer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,75,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,1,0,0,0,0,0,0,0,0
get_disposable_virtual_card,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,110,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
getting_virtual_card,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,77,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
lost_or_stolen_card,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lost_or_stolen_phone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,149,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
oos,0,0,0,0,0,5,0,0,5,0,47,9,2,37,3,0,8,232,1,0,5,212,0,1,0,4,111,196,95,81,1,0,4,0,238,91,0,28,196,41,244,134,15,60,44,183,255,6,89,362,214,33,9,3,0,0,0,2,134
order_physical_card,0,0,0,0,0,0,0,0,6,28,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,4,107,0,0,0,0,0,2,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
passcode_forgotten,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,11,0,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
pending_cash_withdrawal,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,24,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,139,3,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0
pending_top_up,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,100,0,0,0,0,0,0,7,76,0,0,0,1,0,0,0,0,0,0,0,0
receiving_money,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,30,0,0,0,0,0,0,17,0,0,0,0,49,0,28,0,0,0,1,0,0,0,7,1,0,0,0,0,0,0,0,0
request_refund,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,23,0,0,0,0,0,169,0,12,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
supported_cards_and_currencies,0,0,0,0,0,0,0,5,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,0,0,34,11,0,0,0,2,0,0,0,0,0,2,0,0,0
terminate_account,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
top_up_by_bank_transfer_charge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1,0,0,0,0,0,0,25,0,0,0,0,24,0,0,0,40,9,4,0,0,0,2,27,0,0,0,0,0,0,0,0
top_up_by_card_charge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,17,128,5,0,0,0,0,0,0,0,0,0,1,0,0,0
top_up_by_cash_or_cheque,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,1,0,0,3,140,0,0,0,0,1,0,0,0,0,0,0,0,0
top_up_failed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,163,1,0,0,0,0,0,0,0,0,0,0,0
top_up_limits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,134,0,0,0,0,0,0,0,0,0,0,0
transaction_charged_twice,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0,196,0,2,0,0,0,0,0,0,0,0
transfer_not_received_by_recipient,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,13,0,0,0,2,3,0,0,0,0,0,0,1,0,3,131,52,0,0,0,0,0,0,0,0
transfer_timing,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,8,155,0,0,0,0,0,0,0,0
unable_to_verify_identity,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,21,0,0,0,1,0,0
verify_my_identity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,134,0,0,0,3,0,0
verify_top_up,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,1,3,144,0,0,2,0,0
virtual_card_not_working,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0
visa_or_mastercard,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,126,0,0,0
why_verify_identity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,38,0,0,0,66,0,0
wrong_amount_of_cash_received,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,39,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,1,0,0,6,0,0,0,0,0,0,0,166,0
wrong_exchange_rate_for_cash_withdrawal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,1,0,0,0,0,0,6,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,121
